"lang"
{
	"Language"		"russian"
		"DOTA_Tooltip_ability_rattletrap_sound_spikes_damage"							"УРОН:"
		"DOTA_Tooltip_ability_rattletrap_sound_spikes_time_activation"					"ВРЕМЯ АКТИВАЦИИ:"
		"DOTA_Tooltip_ability_rattletrap_sound_spikes_max_spikes"						"МАКС. ЛОВУШЕК:"

		"DOTA_Tooltip_ability_rattletrap_scaner"										"Scaner"
		"DOTA_Tooltip_ability_rattletrap_scaner_Description"							"Герой указывает на карте где находится монстр. Так же увеличивает скорость передвижения."
		"DOTA_Tooltip_ability_rattletrap_scaner_duration"								"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_rattletrap_scaner_bonus_movement_speed"					"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		
		"DOTA_Tooltip_ability_snapfire_acceleration_field"								"Acceleration Field"
		"DOTA_Tooltip_ability_snapfire_acceleration_field_Description"					"Герой повышает скорость передвижения и атаки союзников в выбранной области."
		"DOTA_Tooltip_ability_snapfire_acceleration_field_bonus_movement_speed"			"%ДОП. СКОРОСТЬ ПЕРЕДВИЖЕНИЯ:"
		"DOTA_Tooltip_ability_snapfire_acceleration_field_bonus_attack_speed"			"ДОП. СКОРОСТЬ АТТАКИ:"
		"DOTA_Tooltip_ability_snapfire_acceleration_field_duration"						"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_snapfire_acceleration_field_radius"						"РАДИУС:"

		"DOTA_Tooltip_ability_snapfire_healing_grenade"									"Healing Grenade"
		"DOTA_Tooltip_ability_snapfire_healing_grenade_Description"						"Герой бросает в указанную облать гранату которая восстанавливает здоровье себе и союзникам."
		"DOTA_Tooltip_ability_snapfire_healing_grenade_heal"							"ВОССТАНОВЛЕНИЕ СОЮЗНИКАМ:"
		"DOTA_Tooltip_ability_snapfire_healing_grenade_heal_self"						"ВОССТАНОВЛЕНИЕ СЕБЕ:"
		"DOTA_Tooltip_ability_snapfire_healing_grenade_heal_incapped"					"ВОССТАНОВЛЕНИЕ УПАВШИМ:"
		"DOTA_Tooltip_ability_snapfire_healing_grenade_radius"							"РАДИУС:"

		"DOTA_Tooltip_ability_healing_burst"											"Healing Burst"
		"DOTA_Tooltip_ability_healing_burst_Description"								"Герой моментально восстанавливает здоровье себе и союзникам ."
		"DOTA_Tooltip_ability_healing_burst_heal"										"ВОССТАНОВЛЕНИЕ СОЮЗНИКАМ:"
		"DOTA_Tooltip_ability_healing_burst_heal_self"									"ВОССТАНОВЛЕНИЕ СЕБЕ:"
		"DOTA_Tooltip_ability_healing_burst_heal_incapped"								"ВОССТАНОВЛЕНИЕ УПАВШИМ:"
		"DOTA_Tooltip_ability_healing_burst_radius"										"РАДИУС:"

		"DOTA_Tooltip_ability_snapfire_napalm_grenade"									"Napalm Grenade"
		"DOTA_Tooltip_ability_snapfire_napalm_grenade_Description"						"Герой бросает в указанную облать гранату которая наносит урон и поджигает всех в радиусе."
		"DOTA_Tooltip_ability_snapfire_napalm_grenade_damage"							"УРОН ПРИ ПОПАДАНИИ:"
		"DOTA_Tooltip_ability_snapfire_napalm_grenade_damage_per_second"				"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_snapfire_napalm_grenade_flame_duration"					"ДЛИТЕЛЬНОСТЬ:"
		"DOTA_Tooltip_ability_snapfire_napalm_grenade_radius"							"РАДИУС:"

		"DOTA_Tooltip_ability_sniper_flamethrower"										"Flamethrower"
		"DOTA_Tooltip_ability_sniper_flamethrower_Description"							"Герой поджигает всех врагов на пути от чего они получают урон."
		"DOTA_Tooltip_ability_sniper_flamethrower_damage_per_hit"						"УРОН ЗА ПОПАДАНИИ:"
		"DOTA_Tooltip_ability_sniper_flamethrower_duration"								"ДЛИТЕЛЬНОСТЬ:"
		
		"DOTA_Tooltip_ability_sniper_toxic_grenade"										"Toxic Grenade"
		"DOTA_Tooltip_ability_sniper_toxic_grenade_Description"							"Герой бросает гранату, на месте взрыва которой появляется облако ядовитого газа. Враги, оказавшиеся в облаке, получают урон в течение длительного времени."
		"DOTA_Tooltip_ability_sniper_toxic_grenade_damage_per_second"					"УРОН В СЕКУНДУ:"
		"DOTA_Tooltip_ability_sniper_toxic_grenade_radius"								"РАДИУС:"
		"DOTA_Tooltip_ability_sniper_toxic_grenade_duration"							"ДЛИТЕЛЬНОСТЬ:"

		"DOTA_Tooltip_ability_defense_matrix"											"Defense Matrix"
		"DOTA_Tooltip_ability_defense_matrix_Description"								"Герой окружает себя щитом, который поглащает большую часть урона."
		"DOTA_Tooltip_ability_defense_matrix_damage_reduction"							"%УМЕНЬШЕНИЕ ВХОДЯЩЕГО УРОНА:"
		"DOTA_Tooltip_ability_defense_matrix_duration"									"ДЛИТЕЛЬНОСТЬ:"
		
		"DOTA_Tooltip_ability_dash_custom"												"Dash"
		"DOTA_Tooltip_ability_dash_custom_Description"									"Герой совершает рывок на небольшое расстояние"
		"DOTA_Tooltip_ability_dash_custom_push_length"									"ДАЛЬНОСТЬ РЫВКА:"
		
		"DOTA_Tooltip_ability_rattletrap_jetpack_Description"   						"Герой взмывает в небо, получая перемещение и обзор в полёте. Скорость передвижения увеличивается, но герой не может атаковать и имеет уменьшенную скорость поворота."

		

		"rattletrap_scaner_detection_message"											"Вас обнаружили"
	}
}
